Node,Time
10000,0.001836
10010,0.001776
10020,0.001774
10030,0.001749
10040,0.002134
10050,0.001881
10060,0.00184
10070,0.001756
10080,0.001811
10090,0.001818
10100,0.001776
10110,0.001833
10120,0.001764
10130,0.002148
10140,0.001932
10150,0.001948
10160,0.001811
10170,0.001811
10180,0.001815
10190,0.001833
10200,0.00242
10210,0.002014
10220,0.001812
10230,0.00183
10240,0.001821
10250,0.001837
10260,0.001828
10270,0.001826
10280,0.001803
10290,0.001875
10300,0.001871
10310,0.001853
10320,0.002053
10330,0.001969
10340,0.001865
10350,0.001813
10360,0.001842
10370,0.001818
10380,0.001846
10390,0.001849
10400,0.001882
10410,0.001849
10420,0.001853
10430,0.001871
10440,0.001994
10450,0.001832
10460,0.001861
10470,0.001844
10480,0.001839
10490,0.001842
10500,0.001839
10510,0.001851
10520,0.001905
10530,0.001848
10540,0.001853
10550,0.002016
10560,0.001855
10570,0.001883
10580,0.001881
10590,0.001864
10600,0.001902
10610,0.001904
10620,0.001877
10630,0.001882
10640,0.001875
10650,0.001876
10660,0.001884
10670,0.00188
10680,0.001907
10690,0.00194
10700,0.001885
10710,0.001884
10720,0.001897
10730,0.001917
10740,0.001893
10750,0.001904
10760,0.001952
10770,0.001923
10780,0.00195
10790,0.001901
10800,0.001903
10810,0.001936
10820,0.00191
10830,0.00191
10840,0.001941
10850,0.00194
10860,0.001918
10870,0.001945
10880,0.00195
10890,0.001983
10900,0.001932
10910,0.001925
10920,0.001976
10930,0.001931
10940,0.002
10950,0.001936
10960,0.001942
10970,0.001938
10980,0.001938
10990,0.001972
11000,0.001964
11010,0.00198
11020,0.001978
11030,0.001954
11040,0.001982
11050,0.001952
11060,0.001956
11070,0.001959
11080,0.001958
11090,0.00202
11100,0.002008
11110,0.00202
11120,0.00201
11130,0.001971
11140,0.001994
11150,0.001984
11160,0.001974
11170,0.001977
11180,0.002047
11190,0.002033
11200,0.002006
11210,0.002027
11220,0.001995
11230,0.002003
